dac_input,sensor_output
170,3746
189,4537
157,3289
145,1957
164,3755
169,3866
182,4598
160,3685
167,4654
151,2645
153,2321
158,3371
173,4610
147,2166
160,3605
148,2591
142,2013
123,451
177,4724
151,2644
165,4174
165,4368
140,1775
159,3629
134,778
150,2901
166,4314
182,4571
136,444
155,2519
177,4562
154,2170
136,453
133,852
152,1783
147,2638
168,3876
142,2079
143,1751
145,2313
190,4754
140,1401
141,1793
121,466
140,1827
157,3463
177,4722
177,4617
150,2509
179,4704
148,2661
127,391
165,4166
162,4118
161,3728
161,3832
171,3966
148,2215
172,4706
158,3822
140,1821
183,4628
137,609
159,3983
143,2027
134,814
128,431
163,3966
151,2977
120,454
144,1899
156,3390
176,4619
158,3746
144,1714
160,3767
157,3407
140,1363
179,4561
142,1599
161,3887
145,2391
188,4592
172,4638
170,3917
172,4605
152,1830
165,4210
148,2319
151,2691
141,1932
172,4605
151,2677
144,2224
153,2063
148,2402
142,1726
145,2007
182,4780
169,3774
136,579
141,1485
177,4564
146,2421
163,3912
141,1911
162,4092
136,478
130,641
145,2244
136,453
178,4729
169,3467
172,4698
163,3835
153,2362
144,2144
152,2195
140,1808
152,1814
164,4135
166,4207
138,565
181,4609
170,4010
143,2213
164,4234
179,4622
130,455
148,2675
188,4588
148,2398
172,4733
156,3537
145,1892
173,4620
151,2713
169,3969
189,4576
158,3810
140,1777
160,3762
182,4616
156,3519
153,1948
188,4655
127,491
138,414
124,443
189,4559
174,4615
137,486
157,3142
132,628
146,2484
162,3815
180,4523
162,4010
154,2046
167,4494
156,3464
160,3760
121,413
164,4353
155,2260
175,4844
148,2324
130,486
134,713
153,1966
177,4503
148,2588
155,2615
177,4618
146,2332
174,4583
148,2648
141,1824
146,2398
152,1716
157,3735
157,3436
135,824
175,4601
175,4671
160,3735
151,2928
154,2151
146,2435
142,1695
169,3979
173,4692
156,3192
139,650
176,4543
123,447
159,3855
170,4075
125,475
160,3658
177,4614
177,4623
171,3879
167,4518
164,4323
168,3837
176,4585
151,2635
183,4597
181,4634
147,2579
171,3951
165,4095
163,4301
145,1963
121,315
163,4058
124,439
171,3962
167,4321
144,2197
146,2158
173,4648
187,4592
134,745
158,3594
168,3541
161,3719
152,1817
148,2647
127,547
161,4041
185,4823
174,4645
169,3714
142,2005
143,1959
162,3851
147,2473
159,3867
184,4731
166,4308
141,1607
133,834
155,2170
182,4765
176,4625
169,3743
158,3714
136,453
166,4268
165,4402
135,843
165,4368
126,570
155,2537
168,3881
158,3749
155,2569
145,2023
134,918
140,1789
172,4635
159,3827
145,1855
